,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
19,Robbery,"Juice WRLD",2429118,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
20,Fast,"Juice WRLD",2331460,https://open.spotify.com/track/6MjNilJCVKJq0LfFvo5jWJ
21,"Murder On My Mind","YNW Melly",2255220,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
22,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",2242765,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
23,"Giant (with Rag'n'Bone Man)","Calvin Harris",2185987,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
24,"i'm so tired...",Lauv,2133658,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
25,"MIA (feat. Drake)","Bad Bunny",1997669,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
26,"Going Bad (feat. Drake)","Meek Mill",1967930,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
27,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",1951899,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
28,Talk,Khalid,1951058,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
29,"Please Me","Cardi B",1945517,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
30,"High Hopes","Panic! At The Disco",1897395,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
31,"Bohemian Rhapsody - Remastered 2011",Queen,1890709,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
32,"Adan y Eva","Paulo Londra",1885174,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
33,"Don't Call Me Up",Mabel,1830083,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
34,"SICKO MODE","Travis Scott",1788884,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
35,Thotiana,Blueface,1741742,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
36,Desconocidos,"Mau y Ricky",1686437,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
37,"My Bad",Khalid,1675262,https://open.spotify.com/track/1DUSuNhF8P5vUGNPpQiZa5
38,"Eastside (with Halsey & Khalid)","benny blanco",1547249,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
39,"Wolke 10",MERO,1545925,https://open.spotify.com/track/14f1n3XCW3fQhAODW0CwLK
40,HP,Maluma,1544705,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW
41,"Better Now","Post Malone",1542051,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
42,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",1532694,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
43,"Look Back At It","A Boogie Wit da Hoodie",1526676,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
44,"a lot","21 Savage",1505733,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
45,"Pure Water (with Migos)",Mustard,1488270,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
46,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",1486696,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
47,"Ella Quiere Beber - Remix","Anuel Aa",1482620,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
48,"Who Do You Love (with 5 Seconds of Summer)","The Chainsmokers",1462472,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8
49,"Let Me Down Slowly","Alec Benjamin",1461909,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
50,"Hear Me Calling","Juice WRLD",1449267,https://open.spotify.com/track/13ZyrkCDmRz5xY3seuAWYk
51,Amanece,"Anuel Aa",1440306,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
52,"Te Vi","Piso 21",1433958,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
53,"Girls Like You (feat. Cardi B)","Maroon 5",1426362,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
54,"Un Año","Sebastian Yatra",1390294,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp
55,"Lucid Dreams","Juice WRLD",1355284,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
56,SAD!,XXXTENTACION,1341472,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
57,Empty,"Juice WRLD",1340545,https://open.spotify.com/track/41MCdlvXOl62B7Kv86Bb1v
58,"Be Alright","Dean Lewis",1317981,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
59,"when the party's over","Billie Eilish",1316855,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
60,lovely,"Billie Eilish",1308657,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
61,"rockstar (feat. 21 Savage)","Post Malone",1292607,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
62,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1270428,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
63,"Mo Bamba","Sheck Wes",1268095,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
64,"Here With Me",Marshmello,1267951,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
65,"Last Hurrah","Bebe Rexha",1222841,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy
66,"Always Remember Us This Way","Lady Gaga",1209431,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
67,Better,Khalid,1204796,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
68,Moonlight,XXXTENTACION,1197279,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
69,"Someone You Loved","Lewis Capaldi",1179266,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
70,"Another One Bites The Dust - Remastered 2011",Queen,1178323,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
71,"Don't Stop Me Now - Remastered",Queen,1175613,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
72,"Make Believe","Juice WRLD",1164215,https://open.spotify.com/track/6eiztdXRkooWsBt2xToMWI
73,"Wake Up in the Sky","Gucci Mane",1161688,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
74,Adictiva,"Daddy Yankee",1150971,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
75,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",1147498,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
76,"In My Mind",Dynoro,1141746,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
77,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",1129478,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
78,"I Like It","Cardi B",1126896,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
79,"Pa Mí - Remix",Dalex,1105433,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH
80,Youngblood,"5 Seconds of Summer",1098548,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
81,"Promises (with Sam Smith)","Calvin Harris",1094445,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
82,Maze,"Juice WRLD",1083988,https://open.spotify.com/track/4mUIe9gfsdtsVP2zFIl74x
83,"Say My Name","David Guetta",1079048,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
84,"Taste (feat. Offset)",Tyga,1062083,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
85,"Saturday Nights",Khalid,1058673,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
86,"Mixed Personalities (feat. Kanye West)","YNW Melly",1054843,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
87,"Shape of You","Ed Sheeran",1054007,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
88,2002,Anne-Marie,1049206,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
89,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,1048392,https://open.spotify.com/track/6ZRuF2n1CQxyxxAAWsKJOy
90,"Esclavo de Tus Besos","Manuel Turizo",1046521,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX
91,"NI BIEN NI MAL","Bad Bunny",1028062,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
92,Reggaeton,"J Balvin",1018887,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi
93,365,Zedd,965247,https://open.spotify.com/track/2XWjPtKdi5sucFYtVav07d
94,"Under Pressure - Remastered",Queen,962740,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
95,Believer,"Imagine Dragons",958809,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
96,"God's Plan",Drake,952891,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
97,"Body (feat. brando)","Loud Luxury",949443,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
98,NASA,"Ariana Grande",948909,https://open.spotify.com/track/4SPu0Ql902hTVXkBoNIYtq
99,needy,"Ariana Grande",933289,https://open.spotify.com/track/1TEL6MlSSVLSdhOSddidlJ
100,"Jocelyn Flores",XXXTENTACION,929209,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
101,Money,"Cardi B",928528,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
102,"Psycho (feat. Ty Dolla $ign)","Post Malone",927515,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
103,"no tears left to cry","Ariana Grande",927320,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
104,i,"Lil Skies",923319,https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT
105,Perfect,"Ed Sheeran",922354,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
106,"Red Room",Offset,921503,https://open.spotify.com/track/4TWflhgevIGo448fWc6mQq
107,idontwannabeyouanymore,"Billie Eilish",910832,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
108,"One Kiss (with Dua Lipa)","Calvin Harris",908656,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
109,"Bad Liar","Imagine Dragons",907398,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
110,"Bola Rebola",Tropkillaz,907207,https://open.spotify.com/track/1OUPXna2MCgAt3VNmXJBtg
111,"Love Someone","Lukas Graham",900007,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
112,"Walk Me Home",P!nk,899093,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE
113,"Leave Me Alone","Flipp Dinero",897301,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
114,bloodline,"Ariana Grande",895759,https://open.spotify.com/track/2hloaUoRonYssMuqLCBLTX
115,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,894739,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
116,Bubalu,"Becky G",893704,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
117,"Speechless (feat. Erika Sirola)","Robin Schulz",890655,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
118,"I Like Me Better",Lauv,889589,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
119,"Lost In Japan","Shawn Mendes",871551,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
120,imagine,"Ariana Grande",867783,https://open.spotify.com/track/39LmTF9RgyakzSYX8txrow
121,Imposible,"Luis Fonsi",859523,https://open.spotify.com/track/4cuGZb0iFyHtwaSKdKrJkF
122,"In My Feelings",Drake,844652,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
123,Thunder,"Imagine Dragons",844649,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
124,Créeme,"Karol G",841663,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
125,bellyache,"Billie Eilish",832855,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
126,"11 Minutes (with Halsey feat. Travis Barker)",YUNGBLUD,832835,https://open.spotify.com/track/4mGdjNMo0RonTlOEb7cYg4
127,"No Sleep (feat. Bonn)","Martin Garrix",831075,https://open.spotify.com/track/1ahVFh0ViDZr8LvkEVlq3B
128,"Armed And Dangerous","Juice WRLD",829001,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
129,Natural,"Imagine Dragons",827984,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
130,HeMotions,"Juice WRLD",826364,https://open.spotify.com/track/6phY2gnvf9WwCiXlLMQOY3
131,"Thotiana (feat. Cardi B, YG) [Remix]",Blueface,825880,https://open.spotify.com/track/1JkrD47SDpAbyvqKtolcea
132,"We Will Rock You - Remastered",Queen,823190,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn
133,Havana,"Camila Cabello",822302,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
134,Aullando,"Wisin & Yandel",819514,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus
135,Nonstop,Drake,819398,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
136,FRIENDS,Marshmello,815799,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
137,"Solo de Mi","Bad Bunny",815567,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
138,"bad idea","Ariana Grande",813339,https://open.spotify.com/track/7EQpvVujgytLVY8vKiDHAg
139,"Pa Olvidarte (feat. Manuel Turizo) - Remix",ChocQuibTown,811911,https://open.spotify.com/track/2ktoFujjJtantyMoVdBJlX
140,"Somebody To Love - Remastered 2011",Queen,808124,https://open.spotify.com/track/4rDbp1vnvEhieiccprPMdI
141,IDGAF,"Dua Lipa",805153,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
142,"Girls Need Love (with Drake) - Remix","Summer Walker",800528,https://open.spotify.com/track/14SaZBTjxlorHJQxXh01Hu
143,"Vaina Loca",Ozuna,796800,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
144,"Solo (feat. Demi Lovato)","Clean Bandit",787765,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
145,Shotgun,"George Ezra",786331,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
146,"Beautiful (feat. Camila Cabello)",Bazzi,783398,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
147,"Flaws And Sins","Juice WRLD",781027,https://open.spotify.com/track/2BSbCCbaSCzkOEZa6N5901
148,"Too Good At Goodbyes","Sam Smith",776231,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
149,Sola,"Manuel Turizo",773236,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN
150,"Let You Love Me","Rita Ora",769482,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
151,"Almost (Sweet Music)",Hozier,765284,https://open.spotify.com/track/6UTmrvq4nRmx1iQ6iMd1FD
152,changes,XXXTENTACION,763999,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
153,"The Middle",Zedd,763361,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
154,Feeling,"Juice WRLD",759874,https://open.spotify.com/track/2Jh3UqxnHJMyzMzku4uOtE
155,"Te Boté - Remix","Nio Garcia",758089,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
156,"New Rules","Dua Lipa",757347,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
157,"I Fall Apart","Post Malone",749677,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
158,Splashin,"Rich The Kid",747648,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb
159,"Old Town Road","Lil Nas X",746760,https://open.spotify.com/track/2pMl9Sx4glsuk5ikZtFBtX
160,"Say You Won't Let Go","James Arthur",743415,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
161,"ocean eyes","Billie Eilish",737140,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
162,Congratulations,"Post Malone",731227,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
163,"Just You and I","Tom Walker",730183,https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo
164,"Dancin (feat. Luvli) - Krono Remix","Aaron Smith",730058,https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM
165,"Ruin My Life","Zara Larsson",711506,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
166,"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie",710899,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
167,"Kiss and Make Up","Dua Lipa",708342,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
168,Baby,Amenazzy,704372,https://open.spotify.com/track/2IA8cFA46DkjgbsRG7kKbp
169,"Best Part (feat. Daniel Caesar)",H.E.R.,703039,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
170,Africa,Toto,699771,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
171,"This Feeling","The Chainsmokers",695997,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
172,"Legacy (feat. Travis Scott & 21 Savage)",Offset,694097,https://open.spotify.com/track/7pMRoGLEJuFM2wl5pt0R99
173,Soltera,Lunay,692392,https://open.spotify.com/track/4T4CZ3Q4z3GG7lU720YYhM
174,Big,"Juice WRLD",691176,https://open.spotify.com/track/4rWC4tiO4NCwRHdh6vyu6b
175,"BEBE (feat. Anuel Aa)",6ix9ine,690244,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn
176,"In My Blood","Shawn Mendes",690131,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
177,"MALA (feat. Anuel Aa)",6ix9ine,689891,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
178,"fake smile","Ariana Grande",689224,https://open.spotify.com/track/3wFLWP0FcIqHK1wb1CPthQ
179,"Better When You're Gone","David Guetta",688271,https://open.spotify.com/track/4Tvw0lweq9l2JPQKFbpbBQ
180,"Space Cadet (feat. Gunna)","Metro Boomin",686267,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
181,Rise,"Jonas Blue",685500,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
182,Closer,"The Chainsmokers",683468,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
183,"Happy Now",Kygo,683057,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
184,"Ta To Gucci (Remix)",Cauty,682946,https://open.spotify.com/track/7kuRvjpeUcn6qNV9IBXC2C
185,"Ric Flair Drip (& Metro Boomin)",Offset,679055,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
186,"Ring Ring (feat. Clever)","Juice WRLD",678815,https://open.spotify.com/track/4zxpssj8DyrfZcEUSUiNxG
187,"XO TOUR Llif3","Lil Uzi Vert",677230,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
188,"Electricity (with Dua Lipa)","Silk City",675751,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
189,Caro,"Bad Bunny",667320,https://open.spotify.com/track/6it15CsDlkqB7N4lF0C1qM
190,"No Stylist","French Montana",666928,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
191,"I Love It (& Lil Pump)","Kanye West",666600,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
192,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,665011,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
193,"Who Shot Cupid?","Juice WRLD",664455,https://open.spotify.com/track/06LFFPPS7MylCZXps3cO4m
194,Photograph,"Ed Sheeran",663263,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
195,"Envy Me",Calboy,659208,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX
196,"Look Alive (feat. Drake)","BlocBoy JB",652316,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
197,"Contando Lunares (feat. Cruz Cafuné)","Don Patricio",651691,https://open.spotify.com/track/6Cs7b9bu3fy5XhMwBA9Tz4
198,"Falling Down - Bonus Track","Lil Peep",648973,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
199,"Big Plans","Why Don't We",644645,https://open.spotify.com/track/6Yx181fZzA0YE2EkUsYruq
200,"Wonderwall - Remastered",Oasis,643262,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
